,eps,minPts,sh,ri,ari,clusters,clusters_size
22,3.0,6,0.4598658842329273,0.2762041321315537,0.02709762155414444,62,"[  433 57262  2433    20    50   587   878   444    10   195    64    22
    83    26    15   103    14    20   122    18    13   368     8    14
    77    53   201    28    12     7    52    20    23    24     9    14
     8     8     7     8    31    13    15     6    22     6     8   115
     9    16    12     9    12     6    26     6     8     7     7    11
     6   135]"
23,3.0,8,0.4588690870985339,0.276233150800362,0.027127060802651228,53,"[  518 57261  2433    20    50   587   877   444    10   195    64    22
    83    26   103    14    20   122    18    13   368    14    77    53
   201    28    12    49    20    23    24     9    14     8     8    28
    13    10    22     8   115     9    16     8     8     9    12    26
    10     3     8    11   135]"
24,3.5,2,0.44550662539871844,0.27592806704805833,0.02743753384550139,122,"[  142 57278  2520   368    50     3     4    20     2     7     2  1042
   895    10     7   195    64    22     2    50    17   103    14   125
    18    15     4     4     8    17    77    56    15     4   333    48
     4     9    57    21    23    31    12     3     2     5     2    24
     8     3     8     8     5     3    12     2     2     8    13     3
     6    25     6     5     9     6     3    16     5     2     2     2
     4     9     2     2     2     2    12     3     6     4     2     3
     3     3    27     6     3     2     4     7     3     7     4     2
     2     2     2     2     2     2     2     2    10     3     3     5
     2    17     3     2     2     2     2     2   138     3     4     2
     3     2]"
25,3.5,4,0.45219929105621814,0.2759724209157804,0.027451633310168554,70,"[  274 57276  2520   368    50     4    20  1042   895    10   195    64
    22    50    17   103    14   125    18    15     4     4     8    17
    77    56    15     4   333    48     4     9    57    21    23    31
    12     5    24     8     8     8     5     4    12     8     6    13
     6    25     6     5     9     6    16     5     4     9     3    12
     6    27     6     4     7     7    10     5    17   138]"
26,3.5,6,0.45114201257323683,0.2760186862914989,0.027464029152816878,56,"[  343 57274  2520   368    50    20  1041   895    10   195    64    22
    50    17   103    14   125    18    15     8    15    77    56   330
    48     9    57    20    23    24    15     8     8    31    12     8
    13     6    25     6     9    16    12     9    12     6     6    27
     6     8     7     7     6    10    17   138]"
27,3.5,8,0.45130470063388467,0.276023463122841,0.027480788850763518,47,"[  424 57274  2520   368    20    50  1039   886    10   195    64    22
    48    17   103    14   125    18    15    15    77    56   329    48
     9    54    20    23    24    15     8     8    10    30    13     9
    25     9    16     8    12     9    12    27     8    17   136]"
28,4.0,2,0.47508043539174616,0.20636259579065652,0.012133702152149584,106,"[  120 59836   392    52     3     4     2     8     2  1947     8   528
   112    33     2    67   103    14   126    18     2     2     4     4
     8    17    77    56    15     4     5     9    60    24    23    31
    13     3     2     7     2    24     8     3     8     5     3    12
     2     2     8    13     6    25     6     5     9     6     3    16
     5     2     2     4     2     2     2     2    12     3     6     4
     3     3     3    27     6     2     3     2     4     7     3     5
     2     2     2     2     2     2     2    10     4     4     5    17
     3     2     2     2     2     2   142     2     3     2]"
29,4.0,4,0.535460844483347,0.2064331505007438,0.012142545776689646,62,"[  229 59833   392    52     4  1947     8   528   112    33    67   103
    14   126    18     4     4     8    17    77    56    15     4     5
     9    60    24    23    31    13     7    24     8     8     5    12
     8     6    13     6    25     6     5     9     6    16     5     4
    12     6    27     6     4     7     5     4    10     4     5     4
    17   139]"
30,4.0,6,0.5343954842044214,0.2065061629332068,0.012155566400380647,46,"[  309 59830   392    52  1947   527   112    33    67   103    14   126
    18     8    17    77    56    15     9    59    23    23    31    13
     7    24     8    12     8    13     6    25     6     9     6    16
    12     6     6     8    27     6     7    10    17   139]"
31,4.0,8,0.5320915736824522,0.206531401236302,0.01215921824632129,38,"[  372 59829   392    52  1938   526   112    33    67   103    14   126
    18     8    17    77    56    15     9    58    23    23    24     8
    12     8    31    13     9    25     9    16    13    12    27     8
    17   139]"
32,4.5,2,0.47012181570318484,0.19023051129376964,0.009542901119572266,86,"[  100 60429   393     4     4     2     8     8  1963     6     8   137
    35     2   180    14   186    18     2     2     4    17    82    68
    15     4     5     9    31    23    31     3     7    10     2    24
    10     3     8     5     3     9    16     2     8    13     6    17
     2     2     2     2    12     6     3     2     3    27     2     6
     2     3     2     4     7     3     2     5     2     2     2     2
     2     2     2    20    10     5     3     2     2     2     2   142
     2     2]"
33,4.5,4,0.5256673376196793,0.1902544657265092,0.009548982168796785,50,"[  188 60428   393     4     4  1963     8   137    35   180    14   186
    18     5     4    17    82    68    15     4     5     9    30    23
    31    10    24    10     8     5    16     8     7    13     6     7
    17     9    12     6    27     6     4     7     5    20    10     5
     5   141]"
34,4.5,6,0.5250934073123666,0.1903570546740543,0.009563008570381943,39,"[  249 60424   393  1962     8   137    35   180    14   186    18    17
    82    68    15     9    29    23    31     9    24    10     8    14
     8     6    13     6     7    17     9    12     6    27     6     7
    10    20   140]"
35,4.5,8,0.5246861798968846,0.19049165507993057,0.009589952601605087,31,"[  311 60419   393  1962     8   137    34   180    14   186    18    17
    82    68    15     9    29    23    24    10     8    14     8    31
    13    17    12    27    10    20   140]"
36,5.0,2,0.5039860204934484,0.18907223534969564,0.009420307939404852,77,"[   85 60473   428     4     4     2     8     9  1965     6     8   148
    35     2   181    14   186    18     2    18    82    68    16     4
     5     9    31     3    10     2    28    10     3     2     8     5
     3     2     9    16     2     8    13     6    17     2     2     2
    12     6     3     2     3    27     2     6     2     3     2     7
     3     2     5     2     2     2     2     2     2     2    23     2
     2     2     2   143     2]"
37,5.0,4,0.5277375385892604,0.18912384170363952,0.009427376064333817,44,"[  163 60471   417     4     4     8     9  1965     6     8   148    35
   181    14   186    18    18    82    68    16     4     5     9    30
    11    10    28    10     8     5     9    16     8    13     6    17
    12     6    27     6     7     5    23   143]"
38,5.0,6,0.5274830329623461,0.18923115416967692,0.009444848169385634,38,"[  200 60467   417  1965     8   148    35   181    14   186    18    18
    82    68    16     9    30    10    28    10     8     9    16     8
     7    13     6     7    17    12     6    27     6     7    22    10
     6   142]"
39,5.0,8,0.5272841038159892,0.18928240962813667,0.009453643048429982,30,"[  259 60465   417  1963     8   148    35   181    14   186    18    18
    82    68    16     9    30    10    28    10     8     9    16     8
    13    17    12    27    22   142]"
40,5.5,2,0.47387339254784394,0.12552688938000137,0.0011684215638969153,65,"[   72 62817   463     4     4    14     6    10     2    15   186    18
     2    42    82    68    16     4     5    10     3    10     4    28
    10     3     2     8     5     3     9    16     8    13     6    17
     2     2     2    12     6     3     2     3    27     2     6     2
     3     2     7     3     2     2   146     2     2     2     2     2
     2     2     2     2     2]"
41,5.5,4,0.5781852101293075,0.12555188147466295,0.0011717544466905761,35,"[  142 62816   463     4     4    14     6    10    15   186    18    42
    82    68    16     4     5    10    10    28    10     8     5     9
    16     8    13     6    17    12     6    27     6     7   146]"
42,5.5,6,0.5780878978462446,0.12581262977641083,0.001185839111373222,31,"[  175 62806   462     6     9    15   186    18    42    82    68    16
    10    10    28    10     8     9    16     8     8    13     6     8
    17    12     6    27     6     7   145]"
43,5.5,8,0.6104921100666131,0.12586605797583106,0.0011919923698968601,26,"[  216 62804   456     8    15   186    18    42    82    68    16    10
    10    28    10     8     9    16     8    13    17    12     8    27
     8   144]"
44,6.0,2,0.5745806143896445,0.1216268377731143,0.0011199279438098837,57,"[   67 62971   480    32    14     6    10     2    15   186    18     2
    42    82    68     4     5    10     3    12     4    10     3     2
     8    11     3    11    16     8    13     6    17     2     2    12
     3     3     3    27     2     6     2     3     2     7     3     2
     3     2     2     2     2     2     2     2     2]"
45,6.0,4,0.5793467806055134,0.12534710584925757,0.001169639710395733,31,"[  134 62824   480    32    14     6    10    15   186    18    42    82
    68     4     5    10    12    10     8    11    11    16     8    13
     6    17    12    27     6     7   145]"
46,6.0,6,0.5793971662847649,0.1253976551547886,0.0011709323890532334,30,"[  146 62822   480     6    10    15   186    18    42    82    68    10
    11    32    10     8    11    11    16     8    13     6     8    17
    12    27     6     7   145     6]"
47,6.0,8,0.6144350868553774,0.12542430188644305,0.0011741071567847828,25,"[  187 62821   472    10    15   186    18    42    82    68    10    11
    32    10     8    11    10    16     8    13    17    12    27   145
     8]"
48,6.5,2,0.6115134197499423,0.11839867541103448,0.0009607526168897427,46,"[   64 63094   480    36    14     9    10     2    15   186    18     2
    61    68     4     5    13     3    10     2     8    11     3    11
    16     8     6     2     2    12     3     3    27     2     6     2
     2     3     2     2     2     2     2     2     2     2]"
49,6.5,4,0.6142075584522413,0.11893315223946968,0.0009987680382032324,27,"[  115 63074   480    34    14     9    10    15   186    18    60    68
     4     5    13    12    10     8    11    11    16     8     6    12
    27     6     7]"
50,6.5,6,0.6142295745167975,0.11898417409071485,0.0010003071354058955,26,"[  128 63072   480     7    10    15   186    18    60    68    13    13
    34    10     8    11    11    16     8     6     8    12    27     6
     6     6]"
51,6.5,8,0.6129781770172026,0.11903592196604185,0.0010040152546879721,21,"[  166 63070   478    10    15   186    18    60    68    13    12    33
    10     8    11    10    16     8    12    27     8]"
52,7.0,2,0.6116346108544054,0.11743278421674788,0.0009211144521915774,41,"[   56 63131   483    36    15     9    10     2   186    24     3    63
    68     5     5     3    10     2    11     3    11    17     8     2
     2    12     3     3    27     2     6     2     2     3     2     2
     2     2     2     2     2]"
53,7.0,4,0.6143476577665347,0.11765781872507718,0.0009497304690020463,22,"[  103 63123   483    36    15     9    10   186    24    63    68     5
     5    10    11    11    17     8    12    27     6     7]"
54,7.0,6,0.615033903364537,0.11825342261310597,0.0009699363985442114,21,"[  116 63100   483     9    10   186    24    63    68    21    35    10
    11    11    17     8    15    12    27     6     7]"
55,7.0,8,0.6139765039965696,0.11830458889370787,0.0009720815421360943,19,"[  141 63098   482    10   186    24     8    63    68    21    33    10
    11    11    17     8    12    27     9]"
56,7.5,2,0.6162796924221595,0.11689460408390068,0.000852914253944448,38,"[   49 63150   483    36    15     9    11     2   186    24     3    63
    69     5     6     3    10    11     3    11    17     8     2     2
     3     3    27     2     6     3     2     3     2     2     2     2
     2     2]"
57,7.5,4,0.6189332796751132,0.11709417104388063,0.0008807677324500912,21,"[   92 63143   483    36    15     9    11   186    24    63    69     5
     6    10    11    11    17     8    27     6     7]"
58,7.5,6,0.6192303561374815,0.11712036703962315,0.0008822177265233592,20,"[   99 63142   483    15     9    11   186    24    63    69     6    35
    10    11    11    17     8    27     6     7]"
59,7.5,8,0.6181054019633901,0.11717164818518326,0.0008841972254881367,17,"[  122 63140   482    14     9    11   186    24    63    69    35    10
    11    11    17     8    27]"
60,8.0,2,0.6174285760196188,0.11679092900820645,0.0008495081315935016,33,"[   46 63154   483    36    15     9    11     8   186    24     3    63
    69     6     6    21    11     3    17     8     4     3    27     2
     6     2     3     3     2     2     2     2     2]"
61,8.0,4,0.618505870789676,0.11679096293456541,0.0008503516763567075,21,"[   76 63154   483    36    15     9    11     7   186    24    63    69
     6     6    21    11    17     8    27     6     4]"
62,8.0,6,0.6187781601383258,0.11681626569774264,0.0008509580016227875,19,"[   89 63153   483    35    15     9    11   186    24    63    69     6
    21    11    17     8    27     6     6]"
63,8.0,8,0.618119610966607,0.11709319832670292,0.0008807280590505754,16,"[  119 63143   482    35    14     9    11   186    24    63    69    21
    11    17     8    27]"
64,8.5,2,0.6175936499612106,0.11670921543399383,0.0008426192290554809,33,"[   38 63157   484    36    15     9    12     8   186    24     3    63
    69     6     6    21    11     3    25     2     4     4    27     2
     6     2     3     3     2     2     2     2     2]"
65,8.5,4,0.6187263154869082,0.11670920137878797,0.0008432709423574454,21,"[   67 63157   484    36    15     9    12     7   186    24    63    69
     6     6    21    11    25    27     6     4     4]"
66,8.5,6,0.6189610413158314,0.11676069335243593,0.0008451383359914089,18,"[   84 63155   484    36    15     9    12   186    24    63    69     6
    21    11    25    27     6     6]"
67,8.5,8,0.6182788387627814,0.11695998163161012,0.0008721961667007014,15,"[  110 63148   483    36    15     9    12   186    24    63    69    21
    11    25    27]"
68,9.0,2,0.6399726468802434,0.1116881584116655,0.0006768126577968914,30,"[   34 63350   563    36     9    12     8    24     3    69     6    21
    11     3    25     2     4     4     2    27     2     6     2     3
     3     2     2     2     2     2]"
69,9.0,4,0.6414126725652327,0.11168813563253877,0.000677455574821377,17,"[   65 63350   563    36     9    12     7    24    69     6    21    11
    25    27     6     4     4]"
70,9.0,6,0.6350932940004317,0.11170997936108855,0.0006706831459890732,15,"[   81 63349   549    36    14     9    12    24    69     6    21    11
    25    27     6]"
71,9.0,8,0.6349005076048729,0.11178828963683486,0.0006741463778994989,13,"[   96 63346   549    36    14     9    12    24    69    21    11    25
    27]"
72,9.5,2,0.6386501191472096,0.1096300129371724,0.0006064011480233651,28,"[   30 63429   565    36     9    12    24     3     6    21    11     3
    25     2     4     4     2    27     2     6     2     3     3     2
     2     2     2     2]"
73,9.5,4,0.6406083538131556,0.10965594721528861,0.0006077473232971402,15,"[   61 63428   565    36     9    12    24     6    21    11    25    27
     6     4     4]"
74,9.5,6,0.6405932916203417,0.1097080067284558,0.0006097137191329956,13,"[   71 63426   565    36     9    12    24     6    21    11    25    27
     6]"
75,9.5,8,0.6338789415946876,0.109915258008741,0.0006125951260321142,12,[   91 63418   551    36    14     9    12    24    21    11    25    27]
76,10.0,2,0.6403268669788859,0.10963088096729959,0.0006082009406824027,25,"[   30 63429   568    36     9    12    30     3     6    21    11     5
    25     2     4     4     2    27     2     2     3     2     2     2
     2]"
77,10.0,4,0.6411757206576677,0.10963079130477947,0.0006085141545385438,15,"[   53 63429   568    36     9    12    30     6    21    11     4    25
     4    27     4]"
78,10.0,6,0.6411457544566498,0.10963085528019922,0.0006088919924372753,12,[   65 63429   568    36     9    12    30     6    21    11    25    27]
79,10.0,8,0.6345948923683868,0.10983417788811645,0.0006070668678174965,12,[   79 63421   554    36    14     9    12    30    21    11    25    27]
80,10.5,2,0.6403000427831779,0.10955336893031345,0.0006062982778906093,25,"[   27 63432   568    36     9    12    30     3     6    21    11     5
    25     2     4     4     2    27     2     2     3     2     2     2
     2]"
81,10.5,4,0.6411757947423258,0.1095532831450915,0.0006065648169553436,15,"[   49 63432   568    36     9    12    30     6    21    11     5    25
     4    27     4]"
82,10.5,6,0.6411163838834385,0.10955334178922628,0.0006069406660905657,12,[   62 63432   568    36     9    12    30     6    21    11    25    27]
83,10.5,8,0.641087193493612,0.10968290510012099,0.0006107974018024512,11,[   73 63427   568    36     9    12    30    21    11    25    27]
84,11.0,2,0.7964525642420561,0.09447816660711549,0.0001562035327851154,22,"[   22 64012    36     9    12    30     3     6    21    11     5    25
     2     4     2     2    27     2     2     2     2     2]"
85,11.0,4,0.7971039389346241,0.09447806579736313,0.00015634672868892427,13,"[   41 64012    36     9    12    30     6    21    11     5    25     4
    27]"
86,11.0,6,0.8134493859390698,0.09452950542748584,0.00015698975782486223,11,[   52 64010    36     9    12    30     6    21    11    25    27]
87,11.0,8,0.8133310079603032,0.09471402362395413,0.00016377228019285567,10,[   65 64003    36     9    12    30    21    11    25    27]
88,11.5,2,0.7969962535383207,0.09440104763123106,0.00015561072929806504,20,"[   21 64015    36     9    12    30     6    21    13     5     3    25
     2     4     2     2    27     2     2     2]"
89,11.5,4,0.797102544469303,0.09440095118343915,0.00015568520150827016,13,"[   36 64015    36     9    12    30     6    21    13     5    25     4
    27]"
90,11.5,6,0.8134599749271236,0.09447807597527083,0.00015649666823726587,11,[   48 64012    36     9    12    30     6    21    13    25    27]
91,11.5,8,0.8133265579970338,0.09458532882784888,0.00016240730335900704,10,[   58 64008    36     9    12    30    21    13    25    27]
92,12.0,2,0.7964568583948203,0.0938214758864616,0.00010777683232717209,18,"[   21 64036    36     9    12    30     6    38     5     3     2     4
     2     2    27     2     2     2]"
93,12.0,4,0.79656327699455,0.0938213794386697,0.00010785126911929406,11,[   36 64036    36     9    12    30     6    38     5     4    27]
94,12.0,6,0.8129573369111974,0.09387278853506932,0.00010841212088933757,9,[   47 64034    36     9    12    30     6    38    27]
95,12.0,8,0.8129263619172998,0.09395431842228127,0.00011403869354337083,8,[   56 64031    36     9    12    30    38    27]
96,12.5,2,0.7964558725016977,0.09377005612749201,0.0001073802916032896,18,"[   19 64038    36     9    12    30     6    38     5     3     2     4
     2     2    27     2     2     2]"
97,12.5,4,0.7965623424421546,0.09376996646497189,0.00010744901019377382,11,[   34 64038    36     9    12    30     6    38     5     4    27]
98,12.5,6,0.8129656291330348,0.09379565162668087,0.00010777357532584431,9,[   44 64037    36     9    12    30     6    38    27]
99,12.5,8,0.8129234676086351,0.09379565744262812,0.00010789616135677531,8,[   50 64037    36     9    12    30    38    27]
100,13.0,2,0.8144904279289784,0.09351307413625135,0.00010581435097095239,16,"[   16 64048    49    30     6    38     6     3     2     4     2     2
    27     2     2     2]"
101,13.0,4,0.7988231352251771,0.09351299077434075,0.00010588164223420246,9,[   32 64048    49    30     6    38     5     4    27]
102,13.0,6,0.8508853542701889,0.0935386730280761,0.00010618702748806031,7,[   43 64047    48    30     6    38    27]
103,13.0,8,0.8508640636892405,0.09353867593604973,0.00010630373197598799,6,[   49 64047    48    30    38    27]
104,13.5,2,0.8187143658704894,0.09348298339449981,0.00010078097416300674,16,"[   13 64049    49    30     6    38     6     3     3     3     4     2
     2    27     2     2]"
105,13.5,4,0.7988220555473616,0.09348289276265516,0.0001008433247228663,9,[   31 64049    49    30     6    38     5     4    27]
106,13.5,6,0.8511494281536656,0.09348287192217751,0.00010095186382923797,7,[   40 64049    49    30     6    38    27]
107,13.5,8,0.8511288702417489,0.09348287773812476,0.00010106385189278624,6,[   46 64049    49    30    38    27]
108,14.0,2,0.8187143658704894,0.09348298339449981,0.00010078097416300674,16,"[   13 64049    49    30     6    38     6     3     3     3     4     2
     2    27     2     2]"
109,14.0,4,0.7988220555473616,0.09348289276265516,0.0001008433247228663,9,[   31 64049    49    30     6    38     5     4    27]
110,14.0,6,0.8511494281536656,0.09348287192217751,0.00010095186382923797,7,[   40 64049    49    30     6    38    27]
111,14.0,8,0.8511288702417489,0.09348287773812476,0.00010106385189278624,6,[   46 64049    49    30    38    27]
